event,date,mean_tmin,mean_tmax,min_tmin,max_tmax,mean_prcp,total_snow,station_count,is_baseline,fossil,renewable,other,total_generation_mwh,fossil_pct,renewable_pct,baseline_fossil_pct,baseline_renewable_pct,fossil_pct_change,renewable_pct_change,pm25_mean,ozone_mean,pm25_aqi,ozone_aqi,data_quality
elliott_2022,2022-12-01,26.5,49.2,22.0,56.0,0.1,0.0,37,1,1365711.0,190091.0,819394.0,2375196.0,57.5,8.0,56.655,6.482727272727273,0.84,1.52,6.8874,0.0096,37.3788,13.9524,ok
elliott_2022,2022-12-02,23.4,43.2,22.0,59.0,0.0,0.0,39,1,1365481.0,233254.0,822788.0,2421523.0,56.39,9.63,56.655,6.482727272727273,-0.27,3.15,7.9554,0.0265,42.2208,30.2857,ok
elliott_2022,2022-12-03,27.7,52.4,25.0,57.0,0.2,0.0,39,1,1131754.0,225206.0,810633.0,2167593.0,52.21,10.39,56.655,6.482727272727273,-4.44,3.91,5.4524,0.0226,30.3274,25.8095,ok
elliott_2022,2022-12-04,24.0,50.0,20.0,57.0,0.0,0.0,37,1,1212106.0,149659.0,814275.0,2176040.0,55.7,6.88,56.655,6.482727272727273,-0.95,0.4,8.7967,0.0151,45.5032,21.381,ok
elliott_2022,2022-12-05,21.8,41.0,20.0,52.0,0.0,0.0,37,1,1444101.0,165531.0,798672.0,2408304.0,59.96,6.87,56.655,6.482727272727273,3.3,0.39,10.2606,0.0171,51.369,20.5714,ok
elliott_2022,2022-12-06,27.5,50.7,20.0,56.0,0.1,0.0,40,1,1454099.0,95290.0,796178.0,2345567.0,61.99,4.06,56.655,6.482727272727273,5.34,-2.42,9.8861,0.0032,49.631,6.2381,ok
elliott_2022,2022-12-07,42.2,53.4,38.0,64.0,0.4,0.0,40,1,1359220.0,65948.0,794147.0,2219315.0,61.25,2.97,56.655,6.482727272727273,4.59,-3.51,8.4448,0.0096,45.6962,12.0952,ok
elliott_2022,2022-12-08,42.6,55.0,37.0,63.0,0.0,0.0,38,1,1296845.0,95882.0,795383.0,2188110.0,59.27,4.38,56.655,6.482727272727273,2.62,-2.1,12.1601,0.0112,55.3631,12.9524,ok
elliott_2022,2022-12-09,32.5,47.6,28.0,53.0,0.0,0.0,40,1,1303012.0,154919.0,797650.0,2255581.0,57.77,6.87,56.655,6.482727272727273,1.12,0.39,13.6565,0.0159,57.9167,18.7619,ok
elliott_2022,2022-12-10,32.3,45.2,28.0,48.0,0.1,0.0,38,1,1363642.0,78879.0,796398.0,2238919.0,60.91,3.52,56.655,6.482727272727273,4.25,-2.96,13.0712,0.0123,55.9318,14.3333,ok
elliott_2022,2022-12-11,35.9,44.2,31.0,49.0,0.0,0.0,39,1,1308982.0,70567.0,790711.0,2170260.0,60.31,3.25,56.655,6.482727272727273,3.66,-3.23,10.3142,0.0197,52.1964,22.1905,ok
elliott_2022,2022-12-12,35.0,42.8,31.0,48.0,0.0,0.0,40,1,1433718.0,86406.0,798231.0,2318355.0,61.84,3.73,56.655,6.482727272727273,5.19,-2.75,8.357,0.0214,44.3988,21.5714,ok
elliott_2022,2022-12-13,30.3,39.3,24.0,48.0,0.0,0.0,40,1,1451684.0,179603.0,802203.0,2433490.0,59.65,7.38,56.655,6.482727272727273,2.99,0.9,7.2929,0.0178,38.8571,21.9524,ok
elliott_2022,2022-12-14,27.5,42.5,23.0,54.0,0.1,0.0,40,1,1479465.0,203779.0,805301.0,2488545.0,59.45,8.19,56.655,6.482727272727273,2.8,1.71,6.3707,0.0224,35.0417,27.0,ok
elliott_2022,2022-12-15,30.6,44.5,24.0,56.0,0.5,0.0,40,0,1459829.0,169108.0,801786.0,2430723.0,60.06,6.96,56.655,6.482727272727273,3.41,0.48,2.9981,0.0197,16.2107,23.6667,ok
elliott_2022,2022-12-16,35.3,42.5,32.0,55.0,0.2,0.0,40,0,1385295.0,188332.0,794785.0,2368412.0,58.49,7.95,56.655,6.482727272727273,1.84,1.47,6.2212,0.0187,32.89,19.9524,ok
elliott_2022,2022-12-17,30.4,39.4,28.0,43.0,0.0,0.3,39,0,1307968.0,199898.0,787704.0,2295570.0,56.98,8.71,56.655,6.482727272727273,0.32,2.23,5.7409,0.0227,31.5536,22.7619,ok
elliott_2022,2022-12-18,25.6,33.8,23.0,40.0,0.0,17.6,38,0,1332516.0,189325.0,806640.0,2328481.0,57.23,8.13,56.655,6.482727272727273,0.57,1.65,6.692,0.0188,36.6786,19.9048,ok
elliott_2022,2022-12-19,23.0,29.5,19.0,35.0,0.0,0.3,39,0,1607747.0,126839.0,852227.0,2586813.0,62.15,4.9,56.655,6.482727272727273,5.49,-1.58,8.5971,0.0132,45.619,14.2381,ok
elliott_2022,2022-12-20,23.1,32.0,17.0,47.0,0.0,0.0,38,0,1621472.0,94043.0,847432.0,2562947.0,63.27,3.67,56.655,6.482727272727273,6.62,-2.81,11.8114,0.0078,55.7202,15.9048,ok
elliott_2022,2022-12-21,20.1,36.9,18.0,46.0,0.0,0.0,39,0,1705852.0,78737.0,850484.0,2635073.0,64.74,2.99,56.655,6.482727272727273,8.08,-3.49,18.0096,0.0104,67.7381,16.0,ok
elliott_2022,2022-12-22,22.4,39.9,15.0,46.0,0.0,0.0,39,0,1587611.0,145566.0,844087.0,2577264.0,61.6,5.65,56.655,6.482727272727273,4.94,-0.83,7.242,0.0169,38.4416,22.7619,ok
